storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,mean_bus_weight_impacted,year,storm_name,rank
WP192009,2.1079564464694585,0.2823246834776846,0.008230234537135334,28,1.4900468920347418,2009,PARMA,45
WP242016,2.0749032413624606,0.14130464741169022,0.007398942179433355,45,1.4900468920347418,2016,SARIKA,46
WP272019,2.0248046513087243,0.11709457305413441,0.007493071779004489,60,1.4900468920347418,2019,KALMAEGI,47
WP052003,2.0203343450808844,0.15318776746378487,0.007385159401045969,42,1.4900468920347418,2003,LINFA,48
WP302001,1.885399524502548,0.10350215229715307,0.007393972481177638,49,1.4900468920347418,2001,KAJIKI,49
WP082003,1.8772840630152274,0.16547125918771427,0.0075129463847432845,47,1.4900468920347418,2003,KONI,50
WP042021,1.8471028407613963,0.07036231097441067,0.005827962535586596,88,1.4900468920347418,2021,CHOI-WAN,51
WP012017,1.8454060415012157,0.10171968736900053,0.007145127628836077,55,1.4900468920347418,2017,UNNAMED,52
WP022006,1.8381797015013135,0.09163126479712996,0.005956458965245235,60,1.4900468920347418,2006,CHANCHU,53
WP292019,1.7634308116519206,0.20183020668221555,0.005931911797408641,42,1.4900468920347418,2019,KAMMURI,54
WP232011,1.7560848754608334,0.0960948719586987,0.006810964787465408,53,1.4900468920347418,2011,BANYAN,55
WP332017,1.7344722101830217,0.19156875298745477,0.007383807645104656,38,1.4900468920347418,2017,TEMBIN,56
WP032002,1.6504340141529148,0.15209988358504659,0.006719990729096046,74,1.4900468920347418,2002,UNNAMED,57
WP332000,1.6148765508673262,0.17870210946588147,0.00651338437816622,45,1.4900468920347418,2000,RUMBIA,58
WP232007,1.5734645325266707,0.08393928898208887,0.006031561388129975,67,1.4900468920347418,2007,HAGIBIS,59
WP042010,1.4652181672374027,0.06007834512811786,0.004558155283191748,70,1.4900468920347418,2010,CHANTHU,60
WP012001,1.4163013063300307,0.11042290522585954,0.00562145212067199,60,1.4900468920347418,2001,UNNAMED,61
WP292016,1.4017189251383992,0.09057181371849465,0.00556662361583992,49,1.4900468920347418,2016,TOKAGE,62
WP262018,1.3645460554314521,0.23960267630075796,0.00565739110125871,10,1.4900468920347418,2018,MANGKHUT,63
WP232005,1.3320140848785282,0.1262583678148443,0.00509895665225702,39,1.4900468920347418,2005,TEMBIN,64
WP252006,1.3202979279326492,0.1210829646513635,0.005382374895770058,36,1.4900468920347418,2006,UTOR,65
WP222015,1.3044007602693948,0.11499890814800288,0.0044937033759805305,53,1.4900468920347418,2015,MUJIGAE,66
WP292013,1.2486803985976305,0.2746150153737463,0.005065999098421683,9,1.4900468920347418,2013,KROSA,67
WP032001,1.2472899469254737,0.10319865953808956,0.005074305976999664,73,1.4900468920347418,2001,CIMARON,68
WP092003,1.247070966067266,0.22821666652545466,0.004849402800539363,22,1.4900468920347418,2003,IMBUDO,69
WP212014,1.211144303249518,0.13377404539958723,0.005043573257439714,54,1.4900468920347418,2014,SINLAKU,70
WP272012,1.2022967372334326,0.10732201853650651,0.004822234043319396,45,1.4900468920347418,2012,WUKONG,71
WP032022,1.1890953787725937,0.11398336401868807,0.004778023834814174,38,1.4900468920347418,2022,MEGI,72
WP122003,1.1680618158247456,0.1458453432821837,0.004654086215189977,24,1.4900468920347418,2003,KROVANH,73
WP042009,1.1553807813454415,0.04910003521041767,0.0038206137511440363,72,1.4900468920347418,2009,NANGKA,74
WP272011,1.1311166365732541,0.09685883464661434,0.004795057428968342,43,1.4900468920347418,2011,WASHI,75
WP302004,1.1309393814154007,0.12088629270196716,0.004298390934605671,34,1.4900468920347418,2004,NANMADOL,76
WP242003,1.1237051523854071,0.35771658596618117,0.004432845455971532,13,1.4900468920347418,2003,MELOR,77
WP242012,1.0784616714527817,0.1123702727764559,0.004123547980597575,66,1.4900468920347418,2012,SON-TINH,78
WP172009,1.0693568900877628,0.07734677846851458,0.0034792469543004014,58,1.4900468920347418,2009,KETSANA,79
WP192020,1.0618460375670526,0.1533318775306705,0.0038284073859530684,31,1.4900468920347418,2020,SAUDEL,80
WP022020,1.0610579308767698,0.0659520779996862,0.0038857277949653404,70,1.4900468920347418,2020,NURI,81
WP012015,1.0235326610730695,0.13903592276750062,0.0038547344324474596,21,1.4900468920347418,2015,MEKKHALA,82
WP032021,0.9525809205019165,0.09058176441335115,0.003976920950240429,40,1.4900468920347418,2021,UNNAMED,83
WP252005,0.9520989143775586,0.07113448027964529,0.003963803738436313,68,1.4900468920347418,2005,UNNAMED,84
WP132019,0.9426632103015035,0.087274830547863,0.003569876594906018,30,1.4900468920347418,2019,PODUL,85
WP102011,0.9338963274292034,0.13651480571278757,0.003603522839919613,37,1.4900468920347418,2011,NOCK-TEN,86
WP042020,0.9278614317578748,0.050385697045436204,0.002662411441738155,74,1.4900468920347418,2020,SINLAKU,87
WP252016,0.9207922152461407,0.152936604764344,0.003774737187175364,12,1.4900468920347418,2016,HAIMA,88
WP102022,0.9145604028258109,0.22289977557705473,0.003627008402287456,12,1.4900468920347418,2022,MA-ON,89
WP062000,0.8433466851738151,0.11880312667209776,0.0034206750176921665,25,1.4900468920347418,2000,KAI-TAK,90
WP212020,0.7893718947126174,0.06320994501755857,0.0026877532799138774,33,1.4900468920347418,2020,MOLAVE,91
WP072006,0.7731334622126772,0.08816606417723473,0.003023847057878077,26,1.4900468920347418,2006,PRAPIROON,92
WP302013,0.7654485522091143,0.06050105375626065,0.0030484564157328455,50,1.4900468920347418,2013,UNNAMED,93
WP022018,0.7522645039428542,0.09392356603989607,0.0031534328773281423,43,1.4900468920347418,2018,SANBA,94
WP102015,0.7142179224534881,0.20263615961550435,0.002955691058270054,19,1.4900468920347418,2015,LINFA,95
WP022008,0.6985083668209131,0.09643157814646827,0.002941367640183034,54,1.4900468920347418,2008,NEOGURI,96
WP212007,0.6876151295852208,0.07761858125962226,0.002773295971405475,22,1.4900468920347418,2007,PEIPAH,97
WP242007,0.6390320286385549,0.13557080631335883,0.0025633043801086518,11,1.4900468920347418,2007,MITAG,98
WP332018,0.6070379285669546,0.05729540904642975,0.002465545361472785,42,1.4900468920347418,2018,USAGI,99
WP162014,0.5897573720529462,0.18979456864479197,0.0023505771944879288,9,1.4900468920347418,2014,FUNG-WONG,100
WP142012,0.5424142959894827,0.12609357365983295,0.002152216977127274,10,1.4900468920347418,2012,KAI-TAK,101
WP242008,0.5340324673739626,0.033886906682849036,0.00216205937957193,52,1.4900468920347418,2008,MAYSAK,102
WP032006,0.5123737139307426,0.07971547095218298,0.0021255581128378745,33,1.4900468920347418,2006,JELAWAT,103
WP292004,0.5109829047365396,0.07574187737351958,0.00186004597420319,21,1.4900468920347418,2004,MUIFA,104
WP242017,0.494654020406276,0.145798787283516,0.0021063801003051957,22,1.4900468920347418,2017,KHANUN,105
WP162017,0.45920240779202576,0.0701709143846321,0.00179958412807805,26,1.4900468920347418,2017,PAKHAR,106
WP132008,0.4568360101999793,0.1556018091052345,0.0018191637597641025,6,1.4900468920347418,2008,NURI,107
WP252003,0.41593004129846184,0.14123952485193672,0.0017216732000144362,24,1.4900468920347418,2003,NEPARTAK,108
WP242021,0.4138589543614663,0.1059617478355948,0.0016585890227034938,7,1.4900468920347418,2021,KOMPASU,109
WP262020,0.4059586644704556,0.030140791510919304,0.0017008021332690154,40,1.4900468920347418,2020,KROVANH,110
WP012013,0.3897638531272352,0.05561729836265923,0.001659121159783781,37,1.4900468920347418,2013,SONAMU,111
WP322017,0.37260133261534484,0.10027207939627336,0.001541985132016918,29,1.4900468920347418,2017,KAI-TAK,112
WP322013,0.3590224837148727,0.02189005527638835,0.0015134250440590683,48,1.4900468920347418,2013,PODUL,113
WP012018,0.3420132381747921,0.024419406375954338,0.001431787637561545,44,1.4900468920347418,2017,BOLAVEN,114
WP152014,0.3243470724744349,0.06754272029379695,0.001298915051678273,12,1.4900468920347418,2014,KALMAEGI,115
WP032019,0.3191952605170284,0.07802268166973929,0.001328045114303451,19,1.4900468920347418,2019,UNNAMED,116
WP042004,0.307618051370346,0.04525613424905559,0.0011491140496377682,8,1.4900468920347418,2004,NIDA,117
WP242005,0.29908594472203226,0.13063710165735024,0.001183522809317376,12,1.4900468920347418,2005,BOLAVEN,118
WP222021,0.2933823480663187,0.03225564675705916,0.0012296579751606015,48,1.4900468920347418,2021,LIONROCK,119
WP032009,0.2922875683764801,0.05978859040455649,0.001209598473971086,24,1.4900468920347418,2009,LINFA,120
