storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,n_generator_buses_considered,rank,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v3,rank_index
WP232001,LEKIMA,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,133,34,0.0,0.0,0.0,0.0,34
WP272001,LINGLING,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,133,35,0.0,0.0,0.0,0.0,35
WP282001,UNNAMED,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,36,0.0,0.0,0.0,0.0,36
WP292001,UNNAMED,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,37,0.0,0.0,0.0,0.0,37
WP302001,KAJIKI,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,133,38,0.0,0.0,0.0,0.0,38
WP012002,TAPAH,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,39,0.0,0.0,0.0,0.0,39
WP032002,UNNAMED,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,40,0.0,0.0,0.0,0.0,40
WP062002,UNNAMED,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,41,0.0,0.0,0.0,0.0,41
WP072002,NOGURI,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,42,0.0,0.0,0.0,0.0,42
WP112002,NAKRI,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,133,43,0.0,0.0,0.0,0.0,43
WP132002,UNNAMED,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,133,44,0.0,0.0,0.0,0.0,44
WP162002,KAMMURI,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,45,0.0,0.0,0.0,0.0,45
WP182002,UNNAMED,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,46,0.0,0.0,0.0,0.0,46
WP232002,HAGUPIT,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,47,0.0,0.0,0.0,0.0,47
WP022003,KUJIRA,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,133,48,0.0,0.0,0.0,0.0,48
WP052003,LINFA,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,20,133,49,0.0,0.0,0.0,0.0,49
WP062003,NANGKA,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,50,0.0,0.0,0.0,0.0,50
WP072003,SOUDELOR,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,133,51,0.0,0.0,0.0,0.0,51
WP082003,KONI,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,133,52,0.0,0.0,0.0,0.0,52
WP092003,IMBUDO,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,53,0.0,0.0,0.0,0.0,53
WP102003,MORAKOT,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,133,54,0.0,0.0,0.0,0.0,54
WP122003,KROVANH,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,55,0.0,0.0,0.0,0.0,55
WP132003,VAMCO,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,133,56,0.0,0.0,0.0,0.0,56
WP142003,DUJUAN,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,57,0.0,0.0,0.0,0.0,57
WP162003,CHOI-WAN,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,58,0.0,0.0,0.0,0.0,58
WP182003,UNNAMED,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,59,0.0,0.0,0.0,0.0,59
WP222003,UNNAMED,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,60,0.0,0.0,0.0,0.0,60
WP242003,MELOR,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,133,61,0.0,0.0,0.0,0.0,61
WP252003,NEPARTAK,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,62,0.0,0.0,0.0,0.0,62
WP272003,UNNAMED,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,133,63,0.0,0.0,0.0,0.0,63
WP022004,UNNAMED,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,133,64,0.0,0.0,0.0,0.0,64
WP042004,NIDA,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,133,65,0.0,0.0,0.0,0.0,65
WP072004,CONSON,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,20,133,66,0.0,0.0,0.0,0.0,66
WP082004,CHANTHU,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,67,0.0,0.0,0.0,0.0,67
WP102004,MINDULLE,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,133,68,0.0,0.0,0.0,0.0,68
WP122004,KOMPASU,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,69,0.0,0.0,0.0,0.0,69
WP202004,AERE,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,70,0.0,0.0,0.0,0.0,70
WP282004,NOCK-TEN,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,71,0.0,0.0,0.0,0.0,71
WP292004,MUIFA,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,27,133,72,0.0,0.0,0.0,0.0,72
WP302004,NANMADOL,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,73,0.0,0.0,0.0,0.0,73
WP022005,ROKE,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,74,0.0,0.0,0.0,0.0,74
WP052005,HAITANG,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,75,0.0,0.0,0.0,0.0,75
WP092005,MATSA,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,76,0.0,0.0,0.0,0.0,76
WP102005,SANVU,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,77,0.0,0.0,0.0,0.0,77
WP132005,TALIM,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,78,0.0,0.0,0.0,0.0,78
WP162005,VICENTE,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,79,0.0,0.0,0.0,0.0,79
WP172005,DAMREY,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,133,80,0.0,0.0,0.0,0.0,80
WP222005,KAI-TAK,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,133,81,0.0,0.0,0.0,0.0,81
WP232005,TEMBIN,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,82,0.0,0.0,0.0,0.0,82
WP242005,BOLAVEN,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,83,0.0,0.0,0.0,0.0,83
WP252005,UNNAMED,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,84,0.0,0.0,0.0,0.0,84
WP022006,CHANCHU,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,133,85,0.0,0.0,0.0,0.0,85
WP032006,JELAWAT,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,86,0.0,0.0,0.0,0.0,86
WP042006,EWINIAR,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,87,0.0,0.0,0.0,0.0,87
WP052006,BILIS,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,88,0.0,0.0,0.0,0.0,88
WP062006,KAEMI,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,89,0.0,0.0,0.0,0.0,89
