storm_id,storm_name,year,grid_impact_index_v5r,grid_impact_index_v5r_stoch,rank_v5r_det,rank_v5r_stoch,rank_shift,abs_rank_shift
WP072012,DOKSURI,2012,0.0,0.0,20.0,85.0,-65.0,65.0
WP062012,TALIM,2012,0.0,0.0,20.0,85.0,-65.0,65.0
WP052012,GUCHOL,2012,0.0,0.0,20.0,85.0,-65.0,65.0
WP042012,MAWAR,2012,0.0,0.03388775248643113,20.0,47.0,-27.0,27.0
WP042011,SONGDA,2011,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP272011,WASHI,2011,0.0,0.0,20.0,85.0,-65.0,65.0
WP262011,UNNAMED,2011,0.0,0.0,20.0,85.0,-65.0,65.0
WP232011,BANYAN,2011,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP202011,NESAT,2011,0.0,0.07376874586171603,20.0,33.0,-13.0,13.0
WP142011,NANMADOL,2011,0.0,0.044103093996883495,20.0,44.0,-24.0,24.0
WP102011,NOCK-TEN,2011,0.0,0.01020408163265306,20.0,54.0,-34.0,34.0
WP072011,MEARI,2011,0.0,0.0,20.0,85.0,-65.0,65.0
WP062011,HAIMA,2011,0.0,0.0,20.0,85.0,-65.0,65.0
WP052011,SARIKA,2011,0.0,0.0,20.0,85.0,-65.0,65.0
WP012012,UNNAMED,2012,0.0,0.0,20.0,85.0,-65.0,65.0
WP012008,UNNAMED,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP242007,MITAG,2007,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP232007,HAGIBIS,2007,0.0,0.0,20.0,85.0,-65.0,65.0
WP212007,PEIPAH,2007,0.0,0.04275537215269158,20.0,45.0,-25.0,25.0
WP172007,KROSA,2007,0.0,0.0,20.0,85.0,-65.0,65.0
WP162007,LEKIMA,2007,0.0,0.0,20.0,85.0,-65.0,65.0
WP152007,FRANCISCO,2007,0.0,0.0,20.0,85.0,-65.0,65.0
WP092007,SEPAT,2007,0.0,0.0,20.0,85.0,-65.0,65.0
WP082007,WUTIP,2007,0.0,0.0,20.0,85.0,-65.0,65.0
WP072009,MOLAVE,2009,0.0,0.0,20.0,85.0,-65.0,65.0
WP252006,UTOR,2006,0.0,0.12886340446017444,20.0,26.0,-6.0,6.0
WP232006,CHEBI,2006,0.0,0.069901917491188,20.0,36.0,-16.0,16.0
WP142006,SHANSHAN,2006,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP122006,SONAMU,2006,0.0,0.0,20.0,85.0,-65.0,65.0
WP102006,BOPHA,2006,0.0,0.0,20.0,85.0,-65.0,65.0
WP072006,PRAPIROON,2006,0.0,0.0,20.0,85.0,-65.0,65.0
WP062006,KAEMI,2006,0.0,0.0,20.0,85.0,-65.0,65.0
WP052006,BILIS,2006,0.0,0.0,20.0,85.0,-65.0,65.0
WP042006,EWINIAR,2006,0.0,0.0,20.0,85.0,-65.0,65.0
WP072007,PABUK,2007,0.0,0.0,20.0,85.0,-65.0,65.0
WP062009,UNNAMED,2009,0.0,0.0,20.0,85.0,-65.0,65.0
WP052009,SOUDELOR,2009,0.0,0.0,20.0,85.0,-65.0,65.0
WP042009,NANGKA,2009,0.0,0.0,20.0,85.0,-65.0,65.0
WP032009,LINFA,2009,0.0,0.0,20.0,85.0,-65.0,65.0
WP022009,CHAN-HOM,2009,0.0,0.15126146578882224,20.0,23.0,-3.0,3.0
WP012009,KUJIRA,2009,0.0,0.0,20.0,85.0,-65.0,65.0
WP262008,NOUL,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP242008,MAYSAK,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP212008,HIGOS,2008,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP022008,NEOGURI,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP182008,HAGUPIT,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP152008,SINLAKU,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP142008,UNNAMED,2008,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP132008,NURI,2008,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP102008,KAMMURI,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP092008,FUNG-WONG,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP082008,KALMAEGI,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP052008,HALONG,2008,0.0,0.04081632653061224,20.0,46.0,-26.0,26.0
WP042008,MATMO,2008,0.0,0.0,20.0,85.0,-65.0,65.0
WP192008,JANGMI,2008,0.0,0.0,20.0,85.0,-65.0,65.0
