storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components_after_failure,n_generator_buses_considered,rank
WP142012,KAI-TAK,2012,0,0.0,0,0.0,0.0,0.0,1,133,164
WP152012,TEMBIN,2012,0,0.0,0,0.0,0.0,0.0,1,133,165
WP182012,JELAWAT,2012,0,0.0,0,0.0,0.0,0.0,1,133,166
WP212012,GAEMI,2012,0,0.0,0,0.0,0.0,0.0,1,133,167
WP242012,SON-TINH,2012,0,0.0,0,0.0,0.0,0.0,1,133,168
WP252012,UNNAMED,2012,0,0.0,0,0.0,0.0,0.0,1,133,169
WP262012,BOPHA,2012,0,0.0,0,0.0,0.0,0.0,1,133,170
WP272012,WUKONG,2012,0,0.0,0,0.0,0.0,0.0,1,133,171
WP012013,SONAMU,2013,0,0.0,0,0.0,0.0,0.0,1,133,172
WP022013,SHANSHAN,2013,0,0.0,0,0.0,0.0,0.0,1,133,173
WP042013,LEEPI,2013,0,0.0,0,0.0,0.0,0.0,1,133,174
WP052013,BEBINCA,2013,0,0.0,0,0.0,0.0,0.0,1,133,175
WP062013,RUMBIA,2013,0,0.0,0,0.0,0.0,0.0,1,133,176
WP082013,CIMARON,2013,0,0.0,0,0.0,0.0,0.0,1,133,177
WP092013,JEBI,2013,0,0.0,0,0.0,0.0,0.0,1,133,178
WP102013,MANGKHUT,2013,0,0.0,0,0.0,0.0,0.0,1,133,179
WP112013,UTOR,2013,0,0.0,0,0.0,0.0,0.0,1,133,180
WP122013,TRAMI,2013,0,0.0,0,0.0,0.0,0.0,1,133,181
WP142013,KONG-REY,2013,0,0.0,0,0.0,0.0,0.0,1,133,182
WP172013,USAGI,2013,0,0.0,0,0.0,0.0,0.0,1,133,183
WP202013,WUTIP,2013,0,0.0,0,0.0,0.0,0.0,1,133,184
WP242013,NARI,2013,0,0.0,0,0.0,0.0,0.0,1,133,185
WP292013,KROSA,2013,0,0.0,0,0.0,0.0,0.0,1,133,186
WP302013,UNNAMED,2013,0,0.0,0,0.0,0.0,0.0,1,133,187
WP322013,PODUL,2013,0,0.0,0,0.0,0.0,0.0,1,133,188
WP012014,LINGLING,2014,0,0.0,0,0.0,0.0,0.0,1,133,189
WP022014,KAJIKI,2014,0,0.0,0,0.0,0.0,0.0,1,133,190
WP042014,UNNAMED,2014,0,0.0,0,0.0,0.0,0.0,1,133,191
WP072014,HAGIBIS,2014,0,0.0,0,0.0,0.0,0.0,1,133,192
WP082014,NEOGURI,2014,0,0.0,0,0.0,0.0,0.0,1,133,193
WP092014,RAMMASUN,2014,0,0.0,0,0.0,0.0,0.0,1,133,194
WP102014,MATMO,2014,0,0.0,0,0.0,0.0,0.0,1,133,195
WP132014,FENGSHEN,2014,0,0.0,0,0.0,0.0,0.0,1,133,196
WP142014,UNNAMED,2014,0,0.0,0,0.0,0.0,0.0,1,133,197
WP152014,KALMAEGI,2014,0,0.0,0,0.0,0.0,0.0,1,133,198
WP162014,FUNG-WONG,2014,0,0.0,0,0.0,0.0,0.0,1,133,199
WP212014,SINLAKU,2014,0,0.0,0,0.0,0.0,0.0,1,133,200
WP222014,HAGUPIT,2014,0,0.0,0,0.0,0.0,0.0,1,133,201
WP232014,JANGMI,2014,0,0.0,0,0.0,0.0,0.0,1,133,202
WP012015,MEKKHALA,2015,0,0.0,0,0.0,0.0,0.0,1,133,203
WP032015,BAVI,2015,0,0.0,0,0.0,0.0,0.0,1,133,204
WP042015,MAYSAK,2015,0,0.0,0,0.0,0.0,0.0,1,133,205
WP062015,NOUL,2015,0,0.0,0,0.0,0.0,0.0,1,133,206
WP102015,LINFA,2015,0,0.0,0,0.0,0.0,0.0,1,133,207
WP122015,UNNAMED,2015,0,0.0,0,0.0,0.0,0.0,1,133,208
WP132015,SOUDELOR,2015,0,0.0,0,0.0,0.0,0.0,1,133,209
WP162015,GONI,2015,0,0.0,0,0.0,0.0,0.0,1,133,210
WP222015,MUJIGAE,2015,0,0.0,0,0.0,0.0,0.0,1,133,211
WP242015,KOPPU,2015,0,0.0,0,0.0,0.0,0.0,1,133,212
WP282015,MELOR,2015,0,0.0,0,0.0,0.0,0.0,1,133,213
WP022016,NEPARTAK,2016,0,0.0,0,0.0,0.0,0.0,1,133,214
WP062016,NIDA,2016,0,0.0,0,0.0,0.0,0.0,1,133,215
WP152016,NAMTHEUN,2016,0,0.0,0,0.0,0.0,0.0,1,133,216
WP162016,MERANTI,2016,0,0.0,0,0.0,0.0,0.0,1,133,217
WP182016,MALAKAS,2016,0,0.0,0,0.0,0.0,0.0,1,133,218
WP202016,MEGI,2016,0,0.0,0,0.0,0.0,0.0,1,133,219
WP222016,AERE,2016,0,0.0,0,0.0,0.0,0.0,1,133,220
WP242016,SARIKA,2016,0,0.0,0,0.0,0.0,0.0,1,133,221
WP252016,HAIMA,2016,0,0.0,0,0.0,0.0,0.0,1,133,222
WP292016,TOKAGE,2016,0,0.0,0,0.0,0.0,0.0,1,133,223
WP302016,NOCK-TEN,2016,0,0.0,0,0.0,0.0,0.0,1,133,224
WP012017,UNNAMED,2017,0,0.0,0,0.0,0.0,0.0,1,133,225
WP012018,BOLAVEN,2017,0,0.0,0,0.0,0.0,0.0,1,133,226
WP022017,UNNAMED,2017,0,0.0,0,0.0,0.0,0.0,1,133,227
WP042017,MERBOK,2017,0,0.0,0,0.0,0.0,0.0,1,133,228
WP052017,NANMADOL,2017,0,0.0,0,0.0,0.0,0.0,1,133,229
WP082017,SONCA,2017,0,0.0,0,0.0,0.0,0.0,1,133,230
WP102017,ROKE,2017,0,0.0,0,0.0,0.0,0.0,1,133,231
WP112017,NESAT,2017,0,0.0,0,0.0,0.0,0.0,1,133,232
WP122017,HAITANG,2017,0,0.0,0,0.0,0.0,0.0,1,133,233
WP152017,HATO,2017,0,0.0,0,0.0,0.0,0.0,1,133,234
WP162017,PAKHAR,2017,0,0.0,0,0.0,0.0,0.0,1,133,235
WP182017,MAWAR,2017,0,0.0,0,0.0,0.0,0.0,1,133,236
WP192017,GUCHOL,2017,0,0.0,0,0.0,0.0,0.0,1,133,237
WP212017,DOKSURI,2017,0,0.0,0,0.0,0.0,0.0,1,133,238
WP222017,UNNAMED,2017,0,0.0,0,0.0,0.0,0.0,1,133,239
WP242017,KHANUN,2017,0,0.0,0,0.0,0.0,0.0,1,133,240
WP262017,UNNAMED,2017,0,0.0,0,0.0,0.0,0.0,1,133,241
WP282017,DAMREY,2017,0,0.0,0,0.0,0.0,0.0,1,133,242
WP302017,HAIKUI,2017,0,0.0,0,0.0,0.0,0.0,1,133,243
WP312017,KIROGI,2017,0,0.0,0,0.0,0.0,0.0,1,133,244
WP322017,KAI-TAK,2017,0,0.0,0,0.0,0.0,0.0,1,133,245
WP332017,TEMBIN,2017,0,0.0,0,0.0,0.0,0.0,1,133,246
WP022018,SANBA,2018,0,0.0,0,0.0,0.0,0.0,1,133,247
WP062018,MALIKSI,2018,0,0.0,0,0.0,0.0,0.0,1,133,248
WP072018,UNNAMED,2018,0,0.0,0,0.0,0.0,0.0,1,133,249
WP082018,GAEMI,2018,0,0.0,0,0.0,0.0,0.0,1,133,250
WP112018,SON-TINH,2018,0,0.0,0,0.0,0.0,0.0,1,133,251
WP132018,UNNAMED,2018,0,0.0,0,0.0,0.0,0.0,1,133,252
WP262018,MANGKHUT,2018,0,0.0,0,0.0,0.0,0.0,1,133,253
WP272018,BARIJAT,2018,0,0.0,0,0.0,0.0,0.0,1,133,254
WP312018,YUTU,2018,0,0.0,0,0.0,0.0,0.0,1,133,255
WP332018,USAGI,2018,0,0.0,0,0.0,0.0,0.0,1,133,256
WP352018,UNNAMED,2018,0,0.0,0,0.0,0.0,0.0,1,133,257
WP012019,UNNAMED,2019,0,0.0,0,0.0,0.0,0.0,1,133,258
WP032019,UNNAMED,2019,0,0.0,0,0.0,0.0,0.0,1,133,259
WP042019,UNNAMED,2019,0,0.0,0,0.0,0.0,0.0,1,133,260
WP062019,DANAS,2019,0,0.0,0,0.0,0.0,0.0,1,133,261
WP082019,WIPHA,2019,0,0.0,0,0.0,0.0,0.0,1,133,262
WP102019,LEKIMA,2019,0,0.0,0,0.0,0.0,0.0,1,133,263
WP122019,BAILU,2019,0,0.0,0,0.0,0.0,0.0,1,133,264
WP132019,PODUL,2019,0,0.0,0,0.0,0.0,0.0,1,133,265
WP152019,LINGLING,2019,0,0.0,0,0.0,0.0,0.0,1,133,266
WP162019,KAJIKI,2019,0,0.0,0,0.0,0.0,0.0,1,133,267
WP192019,MITAG,2019,0,0.0,0,0.0,0.0,0.0,1,133,268
WP212019,NEOGURI,2019,0,0.0,0,0.0,0.0,0.0,1,133,269
WP232019,BULBUL:MATMO,2019,0,0.0,0,0.0,0.0,0.0,1,133,270
WP252019,NAKRI,2019,0,0.0,0,0.0,0.0,0.0,1,133,271
WP272019,KALMAEGI,2019,0,0.0,0,0.0,0.0,0.0,1,133,272
WP282019,FUNG-WONG,2019,0,0.0,0,0.0,0.0,0.0,1,133,273
WP292019,KAMMURI,2019,0,0.0,0,0.0,0.0,0.0,1,133,274
WP302019,PHANFONE,2019,0,0.0,0,0.0,0.0,0.0,1,133,275
WP012020,VONGFONG,2020,0,0.0,0,0.0,0.0,0.0,1,133,276
WP022020,NURI,2020,0,0.0,0,0.0,0.0,0.0,1,133,277
WP032020,HAGUPIT,2020,0,0.0,0,0.0,0.0,0.0,1,133,278
WP042020,SINLAKU,2020,0,0.0,0,0.0,0.0,0.0,1,133,279
WP052020,JANGMI,2020,0,0.0,0,0.0,0.0,0.0,1,133,280
WP072020,MEKKHALA,2020,0,0.0,0,0.0,0.0,0.0,1,133,281
WP082020,HIGOS,2020,0,0.0,0,0.0,0.0,0.0,1,133,282
WP092020,BAVI,2020,0,0.0,0,0.0,0.0,0.0,1,133,283
WP132020,NOUL,2020,0,0.0,0,0.0,0.0,0.0,1,133,284
