storm_id,storm_name,year,rank,impact_score,impact_land_only,impact_sea_only,land_share_of_split
WP012009,KUJIRA,2009,130,0.20126631208045473,0.20017727474064215,0.14880705610187692,0.5735996061982884
WP052023,DOKSURI,2023,131,0.19757958977392473,0.2035668500701043,0.1599303333668471,0.5600231840734826
WP072000,UNNAMED,2000,132,0.18949336032774178,0.0,0.18949336032774178,0.0
WP222003,UNNAMED,2003,133,0.184115162473611,0.1896944098212962,0.014248253673642911,0.9301359831755042
WP242000,BOPHA,2000,134,0.17450004944634248,0.1615079659843207,0.02670436888290491,0.8581157345412908
WP102005,SANVU,2005,135,0.1632863116637824,0.0,0.1632863116637824,0.0
WP022013,SHANSHAN,2013,136,0.14258051206011677,0.0,0.14258051206011677,0.0
WP012021,DUJUAN,2021,137,0.11097025641670087,0.11111206680264638,0.006399756100312885,0.9455394704786617
WP242020,ETAU,2020,138,0.10898341743319463,0.0,0.10898341743319463,0.0
WP142011,NANMADOL,2011,139,0.10594008348608597,0.0,0.10594008348608597,0.0
WP162005,VICENTE,2005,140,0.10248884604326515,0.0,0.10248884604326515,0.0
WP162007,LEKIMA,2007,141,0.09947092715647066,0.0,0.09947092715647066,0.0
WP082021,UNNAMED,2021,142,0.0967057427815083,0.0996362198354934,0.01867310480233198,0.8421670915669999
WP012002,TAPAH,2002,143,0.09246847852829507,0.0,0.09246847852829507,0.0
WP172005,DAMREY,2005,144,0.09142461868388876,0.0,0.09142461868388876,0.0
WP132020,NOUL,2020,145,0.08402309586516776,0.03310260920230417,0.0533217327664021,0.3830241393598394
WP022000,LONGWANG,2000,146,0.07402424283731843,0.07626740171117655,0.0010860980540944906,0.9859592900464718
WP062015,NOUL,2015,147,0.06773933789229417,0.0,0.06773933789229417,0.0
WP182008,HAGUPIT,2008,148,0.06385512830809945,0.0,0.06385512830809945,0.0
WP272009,UNNAMED,2009,149,0.06277159665484733,0.0638608372577621,0.022644014024281185,0.7382341719720217
WP182020,NANGKA,2020,150,0.0611854522527048,0.0,0.0611854522527048,0.0
WP262008,NOUL,2008,151,0.05938595414064802,0.06118552850854644,0.0,1.0
WP232022,NESAT,2022,152,0.05884085568456611,0.0,0.05884085568456611,0.0
WP072004,CONSON,2004,153,0.05336788428911812,0.0,0.05336788428911812,0.0
WP182023,JELAWAT,2023,154,0.048889849771641763,0.04018658389637261,0.09502701116275235,0.2972081607533636
WP082013,CIMARON,2013,155,0.04526210647186106,0.0,0.04526210647186106,0.0
WP102000,BOLAVEN,2000,156,0.0421893951395689,0.04346786165894979,0.004334807983170614,0.9093187050927574
WP162009,KOPPU,2009,157,0.037558106571061865,0.0,0.037558106571061865,0.0
WP242009,UNNAMED,2009,158,0.03694276737688173,0.0,0.03694276737688173,0.0
WP112018,SON-TINH,2018,159,0.03583986885723024,0.0,0.03583986885723024,0.0
WP162019,KAJIKI,2019,160,0.029257181513904426,0.0,0.029257181513904426,0.0
WP012019,UNNAMED,2019,161,0.028282311920741484,0.0,0.028282311920741484,0.0
WP012008,UNNAMED,2008,162,0.026151436174981404,0.008423317435232364,0.021996364475952764,0.27690353435731235
WP092023,SAOLA,2023,163,0.02605931305599871,0.0,0.02605931305599871,0.0
WP082009,GONI,2009,164,0.024631338517977844,0.0,0.024631338517977844,0.0
WP262021,UNNAMED,2021,165,0.023033413353849987,0.012013914509822924,0.011372849270786559,0.5137057278435395
WP082020,HIGOS,2020,166,0.013538065858054891,0.004004622149056157,0.013538065858054891,0.22827870776889245
WP142009,MUJIGAE,2009,167,0.010174772855275013,0.0,0.010174772855275013,0.0
WP102004,MINDULLE,2004,168,0.007925803589532314,0.0,0.007925803589532314,0.0
WP232001,LEKIMA,2001,169,0.004113533810389978,0.0,0.004113533810389978,0.0
WP062011,HAIMA,2011,170,0.003784300126230797,0.0,0.003784300126230797,0.0
WP232002,HAGUPIT,2002,171,0.003148715627590268,0.0,0.003148715627590268,0.0
WP142008,UNNAMED,2008,172,0.00277295468783025,0.0,0.00277295468783025,0.0
WP022004,UNNAMED,2004,173,0.002439544265350178,0.0,0.002439544265350178,0.0
WP072012,DOKSURI,2012,174,0.0019200944803964629,0.0,0.0019200944803964629,0.0
WP032000,UNNAMED,2000,175,0.0017875347967543506,0.0,0.0017875347967543506,0.0
WP042023,TALIM,2023,176,0.0017528079968828043,0.0,0.0017528079968828043,0.0
WP282017,DAMREY,2017,177,0.0012589604108176919,0.0,0.0012589604108176919,0.0
WP092012,VICENTE,2012,178,0.0011389047351968943,0.0,0.0011389047351968943,0.0
WP312017,KIROGI,2017,179,0.0,0.0,0.0,
WP102012,SAOLA,2012,180,0.0,0.0,0.0,
WP102013,MANGKHUT,2013,181,0.0,0.0,0.0,
WP102017,ROKE,2017,182,0.0,0.0,0.0,
WP102014,MATMO,2014,183,0.0,0.0,0.0,
WP102023,HAIKUI,2023,184,0.0,0.0,0.0,
WP112001,TORAJI,2001,185,0.0,0.0,0.0,
WP112002,NAKRI,2002,186,0.0,0.0,0.0,
WP102019,LEKIMA,2019,187,0.0,0.0,0.0,
WP092020,BAVI,2020,188,0.0,0.0,0.0,
WP092013,JEBI,2013,189,0.0,0.0,0.0,
WP322000,UNNAMED,2000,190,0.0,0.0,0.0,
WP022001,UNNAMED,2001,191,0.0,0.0,0.0,
