name,cables,bus0,bus1,s_nom,x,r,lat0,lon0,lat1,lon1,lat_mid,lon_mid,line_id,failure_frequency
230_09LALA_10KAUSW,2,09LALA,10KAUSW,230.0,3.160719982,6.553990264,7.911227421,123.8119647,8.256911269,123.7326627,8.084069345,123.77231370000001,188,0.0
230_10KAUSW_10BALOI,2,10KAUSW,10BALOI,230.0,0.82970065,1.720446611,8.256911269,123.7326627,8.246038675,123.8260464,8.251474972,123.77935455,189,0.0
138_10BALOI_10AGUS5,1,10BALOI,10AGUS5,138.0,7.139187701,5.02726559,8.246038675,123.8260464,8.171003598,124.1971047,8.2085211365,124.01157555,190,0.0
138_10BALOI_10AGUS6,2,10BALOI,10AGUS6,138.0,17.73434727,12.48815377,8.246038675,123.8260464,8.300398647,124.7653775,8.273218661,124.29571195,191,0.0030959752321981426
138_10BALOI_10AGUS4,2,10BALOI,10AGUS4,138.0,7.041580723,4.958532813,8.246038675,123.8260464,8.16817332,124.1912126,8.2071059975,124.0086295,192,0.0
138_10BALOI_10AGUS2,2,10BALOI,10AGUS2,138.0,9.234674089,6.502862963,8.246038675,123.8260464,8.049737935,124.2739213,8.147888304999999,124.04998384999999,193,0.0
138_10AGUS2_10AGUS1,1,10AGUS2,10AGUS1,138.0,0.904147993,0.63668197,8.049737935,124.2739213,8.004032753,124.2868803,8.026885344,124.2804008,194,0.0
138_10AGUS2_11KIBAW,2,10AGUS2,11KIBAW,138.0,16.44939368,11.58331652,8.049737935,124.2739213,7.555164084,124.9885897,7.8024510095,124.63125550000001,195,0.0
230_10BALOI_11VILLA,2,10BALOI,11VILLA,230.0,9.081878398,18.83195694,8.246038675,123.8260464,8.561163842,124.8051589,8.4036012585,124.31560264999999,196,0.0030959752321981426
138_10BALOI_11TAGOL,1,10BALOI,11TAGOL,138.0,18.87060213,13.28828051,8.246038675,123.8260464,8.53773781,124.7831862,8.391888242499999,124.30461629999999,197,0.0030959752321981426
138_10BALOI_10LGAIT,1,10BALOI,10LGAIT,138.0,8.663641875,6.100754107,8.246038675,123.8260464,8.338365393,124.2761694,8.292202033999999,124.0511079,198,0.0030959752321981426
138_10BALOI_10IDPP,1,10BALOI,10IDPP,138.0,8.25884673,5.815705893,8.246038675,123.8260464,8.327811916,124.2563912,8.2869252955,124.0412188,199,0.0030959752321981426
138_10IDPP_10LGAIT,1,10IDPP,10LGAIT,138.0,0.423458244,0.298190375,8.327811916,124.2563912,8.338365393,124.2761694,8.3330886545,124.2662803,200,0.0030959752321981426
138_10LGAIT_11OPOL,1,10LGAIT,11OPOL,138.0,5.739976458,4.041970508,8.338365393,124.2761694,8.487454812,124.5409365,8.4129101025,124.40855295,201,0.0030959752321981426
138_11OPOL_11TAGOL,1,11OPOL,11TAGOL,138.0,4.662418882,3.283177162,8.487454812,124.5409365,8.53773781,124.7831862,8.512596311,124.66206135,202,0.0
138_11TAGOL_11VILLA,2,11TAGOL,11VILLA,138.0,0.608543467,0.42852349,8.53773781,124.7831862,8.561163842,124.8051589,8.549450826,124.79417255,203,0.0
138_11VILLA_11JASAA,2,11VILLA,11JASAA,138.0,0.951428777,0.669976103,8.561163842,124.8051589,8.603000836,124.7775523,8.582082339,124.7913556,204,0.0
138_11VILLA_11FDC,2,11VILLA,11FDC,138.0,1.061392369,0.747410148,8.561163842,124.8051589,8.5612641,124.7488025,8.561213971,124.7769807,205,0.0
138_11TAGOL_11MANOL,2,11TAGOL,11MANOL,138.0,3.504277954,2.467638717,8.53773781,124.7831862,8.383743152,124.884986,8.460740480999998,124.83408610000001,206,0.0
138_11MANOL_11MARAM,2,11MANOL,11MARAM,138.0,12.78672633,9.004143324,8.383743152,124.884986,7.760399767,125.1368382,8.0720714595,125.0109121,207,0.0
138_11MARAM_11KIBAW,3,11MARAM,11KIBAW,138.0,4.807276013,3.385182502,7.760399767,125.1368382,7.555164084,124.9885897,7.6577819255,125.06271395,208,0.0
230_11VILLA_11MARAM,2,11VILLA,11MARAM,230.0,7.716669651,16.00109407,8.561163842,124.8051589,7.760399767,125.1368382,8.1607818045,124.97099854999999,209,0.0
138_11KIBAW_14SULTA,1,11KIBAW,14SULTA,138.0,2.519664964,1.77429499,7.555164084,124.9885897,7.42299444,124.9827773,7.489079262000001,124.9856835,210,0.0
138_11KIBAW_14TACUR,1,11KIBAW,14TACUR,138.0,17.80926523,12.54090942,7.555164084,124.9885897,6.669240459,124.6870874,7.1122022715,124.83783855,211,0.0
138_14TACUR_14GENSA,2,14TACUR,14GENSA,138.0,24.17826086,17.02582198,6.669240459,124.6870874,6.203198948,125.1479329,6.4362197035,124.91751015,212,0.0
138_14GENSA_14KAMAN,2,14GENSA,14KAMAN,138.0,19.8876422,14.0044587,6.203198948,125.1479329,5.870344239,125.002748,6.036771593499999,125.07534045,213,0.0
138_14GENSA_13MATAN,2,14GENSA,13MATAN,138.0,14.01345626,9.867980703,6.203198948,125.1479329,6.771182729,125.3100177,6.4871908385,125.2289753,214,0.0
138_13MATAN_14KIDAP,2,13MATAN,14KIDAP,138.0,15.50382726,10.91746856,6.771182729,125.3100177,7.54281484,125.0486952,7.156998784500001,125.17935645,215,0.0
138_11KIBAW_13DAVAO,2,11KIBAW,13DAVAO,138.0,12.84686467,9.046491477,7.555164084,124.9885897,7.09544981,125.4862599,7.325306947,125.2374248,216,0.0
138_11JASAA_12NASIP,1,11JASAA,12NASIP,138.0,14.28785685,10.06120781,8.603000836,124.7775523,8.977097644,125.3270777,8.79004924,125.052315,217,0.0
138_11JASAA_12BUTUA,1,11JASAA,12BUTUA,138.0,16.28427649,11.46704447,8.603000836,124.7775523,8.955193479,125.5658905,8.7790971575,125.1717214,218,0.0
138_12NASIP_12TM2,2,12NASIP,12TM2,138.0,6.024290941,4.242178778,8.977097644,125.3270777,9.124385586,125.7161746,9.050741615,125.52162615,219,0.0
138_12NASIP_12BUTUA,1,12NASIP,12BUTUA,138.0,2.843490503,2.002326113,8.977097644,125.3270777,8.955193479,125.5658905,8.9661455615,125.44648409999999,220,0.0
138_12BUTUA_12PLACE,2,12BUTUA,12PLACE,138.0,12.73969522,8.971025012,8.955193479,125.5658905,9.623963945,125.5526154,9.289578712,125.55925295,221,0.0
138_12BUTUA_12SFRAN,1,12BUTUA,12SFRAN,138.0,11.82288039,8.325423316,8.955193479,125.5658905,8.502073391,125.995159,8.728633434999999,125.78052475,222,0.0
138_12SFRAN_12BISLI,1,12SFRAN,12BISLI,138.0,9.752677226,6.86762986,8.502073391,125.995159,8.152944568,126.3737442,8.3275089795,126.1844516,223,0.0
138_12BISLI_13NABUN,1,12BISLI,13NABUN,138.0,14.16925955,9.9776941,8.152944568,126.3737442,7.498075912,126.0174069,7.82551024,126.19557555,224,0.0030959752321981426
138_13MATAN_13TORIL,2,13MATAN,13TORIL,138.0,4.911933091,3.458879812,6.771182729,125.3100177,6.968722068,125.477022,6.869952398500001,125.39351985,225,0.0
230_13MATAN_13CULAM,2,13MATAN,13CULAM,230.0,4.617509321,9.57475237,6.771182729,125.3100177,6.396060242,125.6173392,6.5836214855,125.46367845,226,0.0
230_13MATAN_13TORIL,2,13MATAN,13TORIL,230.0,2.299525661,4.76823916,6.771182729,125.3100177,6.968722068,125.477022,6.869952398500001,125.39351985,227,0.0
138_13TORIL_13DAVAO,2,13TORIL,13DAVAO,138.0,2.419936315,1.704068176,6.968722068,125.477022,7.09544981,125.4862599,7.032085939,125.48164095,228,0.0
230_13TORIL_13BUNAW,2,13TORIL,13BUNAW,230.0,2.7953643,5.796397819,6.968722068,125.477022,7.242752367,125.6305069,7.1057372175,125.55376445,229,0.0
138_13DAVAO_13BUNAW,2,13DAVAO,13BUNAW,138.0,3.911631315,2.754488372,7.09544981,125.4862599,7.242752367,125.6305069,7.1691010885,125.5583834,230,0.0
138_13BUNAW_13NABUN,1,13BUNAW,13NABUN,138.0,8.777975955,6.181265757,7.242752367,125.6305069,7.498075912,126.0174069,7.370414139499999,125.8239569,231,0.0030959752321981426
138_13NABUN_13MACO,1,13NABUN,13MACO,138.0,3.154035016,2.221005018,7.498075912,126.0174069,7.416971293,125.8717926,7.4575236025,125.94459975000001,232,0.0030959752321981426
138_13MACO_13TM1,2,13MACO,13TM1,138.0,10.6369357,7.490306049,7.416971293,125.8717926,7.548251558,126.4192996,7.4826114255,126.1455461,233,0.0030959752321981426
138_13MACO_13BUNAW,1,13MACO,13BUNAW,138.0,5.637785514,3.970009798,7.416971293,125.8717926,7.242752367,125.6305069,7.32986183,125.75114975,234,0.0030959752321981426
230_13BUNAW_11MARAM,2,13BUNAW,11MARAM,230.0,6.35195813,13.17126224,7.242752367,125.6305069,7.760399767,125.1368382,7.501576067,125.38367255,235,0.0
