storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,n_components_after_failure,rank
WP072002,NOGURI,2002,0,0.0,0,0.0,0.0,1,91
WP072003,SOUDELOR,2003,0,0.0,0,0.0,0.0,1,92
WP072004,CONSON,2004,0,0.0,0,0.0,0.0,1,93
WP072006,PRAPIROON,2006,0,0.0,0,0.0,0.0,1,94
WP072007,PABUK,2007,0,0.0,0,0.0,0.0,1,95
WP072008,FENGSHEN,2008,0,0.0,0,0.0,0.0,1,96
WP072009,MOLAVE,2009,0,0.0,0,0.0,0.0,1,97
WP072010,LIONROCK,2010,0,0.0,0,0.0,0.0,1,98
WP072011,MEARI,2011,0,0.0,0,0.0,0.0,1,99
WP072012,DOKSURI,2012,0,0.0,0,0.0,0.0,1,100
WP072014,HAGIBIS,2014,0,0.0,0,0.0,0.0,1,101
WP072018,UNNAMED,2018,0,0.0,0,0.0,0.0,1,102
WP072020,MEKKHALA,2020,0,0.0,0,0.0,0.0,1,103
WP072021,UNNAMED,2021,0,0.0,0,0.0,0.0,1,104
WP082003,KONI,2003,0,0.0,0,0.0,0.0,1,105
WP082004,CHANTHU,2004,0,0.0,0,0.0,0.0,1,106
WP082007,WUTIP,2007,0,0.0,0,0.0,0.0,1,107
WP082008,KALMAEGI,2008,0,0.0,0,0.0,0.0,1,108
WP082009,GONI,2009,0,0.0,0,0.0,0.0,1,109
WP082013,CIMARON,2013,0,0.0,0,0.0,0.0,1,110
WP082014,NEOGURI,2014,0,0.0,0,0.0,0.0,1,111
WP082017,SONCA,2017,0,0.0,0,0.0,0.0,1,112
WP082018,GAEMI,2018,0,0.0,0,0.0,0.0,1,113
WP082019,WIPHA,2019,0,0.0,0,0.0,0.0,1,114
WP082020,HIGOS,2020,0,0.0,0,0.0,0.0,1,115
WP082021,UNNAMED,2021,0,0.0,0,0.0,0.0,1,116
WP092003,IMBUDO,2003,0,0.0,0,0.0,0.0,1,117
