storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,year,storm_name
WP242009,0.037131213553523876,0.009345161304913736,0.00013621701875912202,6,2009,UNNAMED
WP162009,0.03570389431370338,0.009440732726704237,0.00015067122292779304,5,2009,KOPPU
WP112018,0.03394738144330014,0.0113884733218639,0.00014207174404520751,5,2018,SON-TINH
WP162019,0.028026055630524675,0.007235961092248983,0.00011928866108803532,6,2019,KAJIKI
WP012019,0.028018683341180125,0.006954776959231723,0.00012180560852864307,10,2019,UNNAMED
WP092023,0.025978354390591367,0.010698608255927614,9.166979968926994e-05,2,2023,SAOLA
WP012008,0.02545885167326173,0.006443831350615874,0.0001033180184354704,10,2008,UNNAMED
WP082009,0.024472117487473265,0.004941154017840563,0.00010658715681798102,7,2009,GONI
WP262021,0.02253293141234912,0.006194632089290246,9.64536402475683e-05,8,2021,UNNAMED
WP082020,0.01278826472787803,0.00442779651645356,5.364237598355312e-05,4,2020,HIGOS
WP142009,0.009658081018565225,0.0020731026968666814,3.543820049875223e-05,5,2009,MUJIGAE
WP102004,0.007413360180953426,0.005953196700557092,3.100623281540152e-05,1,2004,MINDULLE
WP232001,0.0038475729821548788,0.0030897404447400257,1.6092398149687635e-05,1,2001,LEKIMA
WP062011,0.0035383862075540205,0.0017919449167105353,1.476040270251113e-05,2,2011,HAIMA
WP232002,0.0029438578621110733,0.0012826786100873888,1.2272621711504424e-05,2,2002,HAGUPIT
WP142008,0.00275702135171051,0.0021380802123019127,1.1135834439072461e-05,1,2008,UNNAMED
WP022004,0.002422500690463755,0.0018181458524609328,9.469509648234024e-06,1,2004,UNNAMED
WP072012,0.001795950631862622,0.0014422133978377594,7.5115281137383305e-06,1,2012,DOKSURI
WP032000,0.001670377122680854,0.001331845166828239,6.9366935772304115e-06,1,2000,UNNAMED
WP042023,0.0015495109594976884,0.0011361058468159582,5.9172179521664485e-06,1,2023,TALIM
WP282017,0.0011809169103196323,0.0009979879811430128,5.197854068453192e-06,1,2017,DAMREY
WP092012,0.0011323606138544517,0.0008781498265039429,4.573697013041369e-06,1,2012,VICENTE
WP312017,0.0,0.0,0.0,0,2017,KIROGI
WP102008,0.0,0.0,0.0,0,2008,KAMMURI
WP102012,0.0,0.0,0.0,0,2012,SAOLA
WP102014,0.0,0.0,0.0,0,2014,MATMO
WP102013,0.0,0.0,0.0,0,2013,MANGKHUT
WP102019,0.0,0.0,0.0,0,2019,LEKIMA
WP102023,0.0,0.0,0.0,0,2023,HAIKUI
WP112001,0.0,0.0,0.0,0,2001,TORAJI
WP102017,0.0,0.0,0.0,0,2017,ROKE
WP092020,0.0,0.0,0.0,0,2020,BAVI
WP092013,0.0,0.0,0.0,0,2013,JEBI
WP092008,0.0,0.0,0.0,0,2008,FUNG-WONG
WP012012,0.0,0.0,0.0,0,2012,UNNAMED
WP012014,0.0,0.0,0.0,0,2014,LINGLING
WP022003,0.0,0.0,0.0,0,2003,KUJIRA
WP022001,0.0,0.0,0.0,0,2001,UNNAMED
WP092005,0.0,0.0,0.0,0,2005,MATSA
WP162010,0.0,0.0,0.0,0,2010,CHABA
WP152019,0.0,0.0,0.0,0,2019,LINGLING
WP162002,0.0,0.0,0.0,0,2002,KAMMURI
WP162003,0.0,0.0,0.0,0,2003,CHOI-WAN
WP152017,0.0,0.0,0.0,0,2017,HATO
WP152008,0.0,0.0,0.0,0,2008,SINLAKU
WP152012,0.0,0.0,0.0,0,2012,TEMBIN
WP152016,0.0,0.0,0.0,0,2016,NAMTHEUN
WP142023,0.0,0.0,0.0,0,2023,KOINU
WP142022,0.0,0.0,0.0,0,2022,MUIFA
WP142014,0.0,0.0,0.0,0,2014,UNNAMED
WP152007,0.0,0.0,0.0,0,2007,FRANCISCO
WP142013,0.0,0.0,0.0,0,2013,KONG-REY
WP132021,0.0,0.0,0.0,0,2021,LUPIT
WP142003,0.0,0.0,0.0,0,2003,DUJUAN
WP142006,0.0,0.0,0.0,0,2006,SHANSHAN
WP122019,0.0,0.0,0.0,0,2019,BAILU
WP122022,0.0,0.0,0.0,0,2022,HINNAMNOR
WP122017,0.0,0.0,0.0,0,2017,HAITANG
WP132001,0.0,0.0,0.0,0,2001,USAGI
WP132003,0.0,0.0,0.0,0,2003,VAMCO
WP132005,0.0,0.0,0.0,0,2005,TALIM
WP132014,0.0,0.0,0.0,0,2014,FENGSHEN
WP132015,0.0,0.0,0.0,0,2015,SOUDELOR
WP112002,0.0,0.0,0.0,0,2002,NAKRI
WP112010,0.0,0.0,0.0,0,2010,MERANTI
WP112017,0.0,0.0,0.0,0,2017,NESAT
WP122004,0.0,0.0,0.0,0,2004,KOMPASU
WP122006,0.0,0.0,0.0,0,2006,SONAMU
WP122010,0.0,0.0,0.0,0,2010,FANAPI
WP122013,0.0,0.0,0.0,0,2013,TRAMI
WP122015,0.0,0.0,0.0,0,2015,UNNAMED
WP322000,0.0,0.0,0.0,0,2000,UNNAMED
WP102006,0.0,0.0,0.0,0,2006,BOPHA
WP102001,0.0,0.0,0.0,0,2001,YUTU
