storm_id,expected_pop_affected,expected_infra_loss,expected_network_loss,expected_composite_consequence,mean_p_fail,max_p_fail,n_buses_with_pfail_20,n_buses_with_pfail_50,n_buses_with_pfail_80,storm_name,year,rank,impact_score,rank_functional,rank_shift_functional
WP122003,20506687.144849725,4.585418662265636,3.113494240344805,4.604049847913981,0.016216115835129195,0.0794490889947881,0,0,0,KROVANH,2003,73,1.1680618158247456,64,9
WP232005,20820941.22838822,4.5787250659852035,3.0983783385343293,4.597773326756321,0.0161373871798663,0.06387029906898124,0,0,0,TEMBIN,2005,64,1.3320140848785282,65,-1
WP252006,20577913.439303655,4.576488366693845,3.111127442352907,4.5949943436854,0.016203788762254725,0.060256052156869126,0,0,0,UTOR,2006,65,1.3202979279326492,66,-1
WP232007,21112286.304071475,4.572016695390224,3.0907150063939564,4.591237144590168,0.016097473991635188,0.03944027980717214,0,0,0,HAGIBIS,2007,59,1.5734645325266707,67,-8
WP012001,20649260.50563449,4.572023967234965,3.099813526281352,4.590503663399461,0.016144862116048708,0.05340711434222745,0,0,0,UNNAMED,2001,61,1.4163013063300307,68,-7
WP012015,20670616.81949936,4.56683217761631,3.0776492018014086,4.586471148098035,0.016029422926049003,0.07367450108725564,0,0,0,MEKKHALA,2015,82,1.0235326610730695,69,13
WP292016,20784245.07872441,4.5637378441188465,3.0941613435120328,4.582454569157837,0.016115423664125172,0.04256855703906244,0,0,0,TOKAGE,2016,62,1.4017189251383992,70,-8
WP032022,20565427.13281881,4.552634275941238,3.088018575574458,4.571190890353981,0.016083430081116967,0.05560876813263766,0,0,0,MEGI,2022,72,1.1890953787725937,71,1
WP222015,21117461.13250496,4.5504730841114345,3.0527667118584527,4.570253745707628,0.015899826624262776,0.05625223799925687,0,0,0,MUJIGAE,2015,66,1.3044007602693948,72,-6
WP252016,20247751.036291886,4.5448328742191535,3.0873680416261573,4.562988289221045,0.016080041883469568,0.08589963902634619,0,0,0,HAIMA,2016,88,0.9207922152461407,73,15
WP192020,20782755.237052564,4.5381234894979325,3.048821792433927,4.557816804370288,0.015879280168926705,0.0862728173580498,0,0,0,SAUDEL,2020,80,1.0618460375670526,74,6
WP212014,20559517.668294694,4.536401725089089,3.0863809464183296,4.554806852950242,0.016074900762595466,0.06947955862455411,0,0,0,SINLAKU,2014,70,1.211144303249518,75,-5
WP042010,21867038.668083496,4.529222246085903,3.0193035310081546,4.55045242075265,0.015725539224000804,0.02991394981610226,0,0,0,CHANTHU,2010,60,1.4652181672374027,76,-16
WP032001,20487892.51555322,4.516706493726376,3.0647707553458274,4.534936917956891,0.01596234768409285,0.04919036558353059,0,0,0,CIMARON,2001,68,1.2472899469254737,77,-9
WP272012,20573059.252391245,4.514085360862779,3.05759031918828,4.532482882767747,0.015924949579105625,0.051556898455797966,0,0,0,WUKONG,2012,71,1.2022967372334326,78,-7
WP102015,20287673.19294367,4.503726403053571,3.0551971253560093,4.522544262077922,0.01591248502789588,0.14574563996442635,0,0,0,LINFA,2015,95,0.7142179224534881,79,16
WP302004,20670795.676409956,4.502610135163893,3.0406201067070593,4.52129373070464,0.015836563055765935,0.060122551564875934,0,0,0,NANMADOL,2004,76,1.1309393814154007,80,-4
WP242012,20480184.023852248,4.4829291750321705,3.025892037942784,4.501142679094676,0.01575985436428533,0.05460090379748497,0,0,0,SON-TINH,2012,78,1.0784616714527817,81,-3
WP272011,20416072.8426,4.4803546854051115,3.0435065553619434,4.4983216463427995,0.01585159664251012,0.04575174262720932,0,0,0,WASHI,2011,75,1.1311166365732541,82,-7
WP162014,20072013.076942313,4.475645470570322,3.0252455006491936,4.493355275935587,0.015756486982547883,0.12758691924929003,0,0,0,FUNG-WONG,2014,100,0.5897573720529462,83,17
WP102011,20445694.64164082,4.472740828266653,3.020834344826621,4.491105412763254,0.01573351221263865,0.0716362543731781,0,0,0,NOCK-TEN,2011,86,0.9338963274292034,84,2
WP042009,20938964.073635884,4.456293007924893,2.9828184208326554,4.4754371093283725,0.015535512608503414,0.026318821777489697,0,0,0,NANGKA,2009,74,1.1553807813454415,85,-11
WP172009,21110499.024205394,4.454905188157971,2.981979637639848,4.474488982970886,0.015531143946040875,0.03655002633305133,0,0,0,KETSANA,2009,79,1.0693568900877628,86,-7
WP132019,20600967.204025466,4.453985523250141,3.002326067025658,4.472489943848078,0.0156371149324253,0.04098494247775816,0,0,0,PODUL,2019,85,0.9426632103015035,87,-2
WP062000,20180465.819475662,4.4510293865621815,3.011375981514714,4.468722546166233,0.01568424990372247,0.05872540510563675,0,0,0,KAI-TAK,2000,90,0.8433466851738151,88,2
WP022020,20757939.2533328,4.447436914074711,2.99277156440288,4.466140212755186,0.015587351897931666,0.03202854493102996,0,0,0,NURI,2020,81,1.0610579308767698,89,-8
WP032021,20424004.36424925,4.445702795526823,3.0119507135890364,4.463745732032231,0.015687243299942897,0.04257342396784649,0,0,0,UNNAMED,2021,83,0.9525809205019165,90,-7
WP242007,20087196.04420625,4.4238312221722005,2.987616631385674,4.441409119898575,0.015560503288467052,0.07088653787776437,0,0,0,MITAG,2007,98,0.6390320286385549,91,7
WP252005,20364700.54810308,4.422339923995967,2.9936369546027994,4.440186536099739,0.015591859138556248,0.034013701006712985,0,0,0,UNNAMED,2005,84,0.9520989143775586,92,-8
WP072006,20297823.488414716,4.413374124649466,2.977277010704976,4.431279660220531,0.01550665109742175,0.0414073733427682,0,0,0,PRAPIROON,2006,92,0.7731334622126772,93,-1
WP022018,20269995.388284616,4.411913213425278,2.985755676941195,4.4297475763530745,0.015550810817402056,0.044238320166594756,0,0,0,SANBA,2018,94,0.7522645039428542,94,0
WP042020,21439515.242541485,4.406274295712117,2.935916876315001,4.42665471609114,0.015291233730807298,0.026717082964838074,0,0,0,SINLAKU,2020,87,0.9278614317578748,95,-8
WP142012,20057248.935837973,4.3986957165787475,2.9669063552615937,4.416222647730492,0.015452637266987467,0.06375216273687646,0,0,0,KAI-TAK,2012,101,0.5424142959894827,96,5
WP212020,20503585.383280404,4.393391945940144,2.9464922341555004,4.41165494603839,0.015346313719559898,0.031023942447065245,0,0,0,MOLAVE,2020,91,0.7893718947126174,97,-6
WP022008,20272378.68896383,4.389983479812645,2.9694698148606546,4.407796368442918,0.01546598861906591,0.04552842258032497,0,0,0,NEOGURI,2008,96,0.6985083668209131,98,-2
